slug,nombre,tipo,activo,descripcion,tags,direccion,municipio,latitud,longitud,dias,horario,fechas_variables,fechas,fecha_inicio,fecha_fin,fotos,videos,fuente_datos,creditos_fotos
"comala-centro-historico","Centro histórico de Comala","Turismo","true","Calles de fachadas blancas, portales y jardines en el corazón del Pueblo Mágico de Comala.","[""Cultura"",""Pueblo Mágico"",""Centro histórico""]","Centro, Comala, Colima","Comala","19.3231443","-103.7582664","Todos los días","Espacio público; servicios y comercios con horarios propios","false","[]","","","[""https://thumb.wikimedia.org/wikipedia/commons/thumb/9/95/MaderoStreetComala1.jpg/1280px-MaderoStreetComala1.jpg""]","[]","OpenStreetMap; Visita Colima","[""https://commons.wikimedia.org/wiki/File:MaderoStreetComala1.jpg""]"
"parroquia-san-miguel-comala","Parroquia de San Miguel Arcángel del Espíritu Santo","Turismo","true","Templo emblemático situado frente al jardín principal de Comala.","[""Cultura"",""Arquitectura"",""Religioso""]","Calle Degollado, Centro, Comala, Colima","Comala","19.3229762","-103.7580569","Consultar antes de visitar","El acceso puede variar durante celebraciones religiosas","false","[]","","","[""https://thumb.wikimedia.org/wikipedia/commons/thumb/e/e3/MainChurchComala01.jpg/1280px-MainChurchComala01.jpg""]","[]","OpenStreetMap; Visita Colima","[""https://commons.wikimedia.org/wiki/File:MainChurchComala01.jpg""]"
"museo-alejandro-rangel-nogueras","Museo Universitario Alejandro Rangel Hidalgo y Hacienda de Nogueras","Turismo","true","Antigua hacienda vinculada con la obra del artista colimense Alejandro Rangel Hidalgo.","[""Museos"",""Arte"",""Historia"",""Arquitectura""]","Calle Hacienda Nogueras, Nogueras, Comala, Colima","Comala","19.3234908","-103.7396034","Consultar antes de visitar","Horario sujeto a la Universidad de Colima","false","[]","","","[""https://thumb.wikimedia.org/wikipedia/commons/thumb/3/36/MuseoUniversitarioRangel01.jpg/1280px-MuseoUniversitarioRangel01.jpg""]","[]","OpenStreetMap; Universidad de Colima","[""https://commons.wikimedia.org/wiki/File:MuseoUniversitarioRangel01.jpg""]"
"laguna-la-maria","Laguna La María","Turismo","true","Laguna rodeada de vegetación en las faldas del volcán, conocida por sus paisajes y actividades al aire libre.","[""Naturaleza"",""Laguna"",""Ecoturismo""]","La Becerrera, Comala, Colima","Comala","19.4614450","-103.7095051","Consultar antes de visitar","Confirmar acceso y condiciones del camino","false","[]","","","[""https://upload.wikimedia.org/wikipedia/commons/d/dd/Vista_laguna_-_panoramio.jpg""]","[]","OpenStreetMap; Visita Colima","[""https://commons.wikimedia.org/wiki/File:Vista_laguna_-_panoramio.jpg""]"
"suchitlan","Suchitlán","Turismo","true","Comunidad de origen indígena reconocida por sus tradiciones, gastronomía, artesanías y entorno natural.","[""Cultura"",""Comunidad"",""Gastronomía"",""Artesanías""]","Suchitlán, Comala, Colima","Comala","19.3745585","-103.7087398","Todos los días","Comercios y espacios culturales con horarios propios","false","[]","","","[""https://thumb.wikimedia.org/wikipedia/commons/thumb/a/a3/Suchitl%C3%A1n.JPG/1280px-Suchitl%C3%A1n.JPG""]","[]","OpenStreetMap; Visita Colima","[""https://commons.wikimedia.org/wiki/File:Suchitl%C3%A1n.JPG""]"
"volcanes-desde-suchitlan","Vista de los volcanes desde Suchitlán","Turismo","true","Punto de referencia en Suchitlán para observar a distancia los volcanes de Colima; no representa acceso al cráter.","[""Naturaleza"",""Paisaje"",""Volcán""]","Suchitlán, Comala, Colima","Comala","19.3745585","-103.7087398","Sujeto a condiciones meteorológicas","Consultar avisos de Protección Civil; no acercarse a zonas restringidas","false","[]","","","[""https://upload.wikimedia.org/wikipedia/commons/4/4b/Volcanes_de_Colima_desde_Cofrad%C3%ADa_de_Suchitl%C3%A1n.jpg""]","[]","OpenStreetMap; Protección Civil Colima","[""https://commons.wikimedia.org/wiki/File:Volcanes_de_Colima_desde_Cofrad%C3%ADa_de_Suchitl%C3%A1n.jpg""]"
"jardin-libertad","Jardín Libertad","Turismo","true","Plaza principal del centro histórico de Colima, rodeada por portales y edificios representativos.","[""Cultura"",""Centro histórico"",""Familia""]","Centro, Colima, Colima","Colima","19.2433584","-103.7285218","Todos los días","Espacio público","false","[]","","","[""https://thumb.wikimedia.org/wikipedia/commons/thumb/9/91/JardinLibertadColima1.jpg/1280px-JardinLibertadColima1.jpg""]","[]","OpenStreetMap; Visita Colima","[""https://commons.wikimedia.org/wiki/File:JardinLibertadColima1.jpg""]"
"catedral-basilica-menor-colima","Catedral Basílica Menor de Colima","Turismo","true","Catedral situada junto al Jardín Libertad y uno de los principales referentes arquitectónicos del centro de Colima.","[""Cultura"",""Arquitectura"",""Religioso""]","Reforma 21, Centro, Colima, Colima","Colima","19.2431980","-103.7287800","Consultar antes de visitar","El acceso puede variar durante servicios religiosos","false","[]","","","[""https://thumb.wikimedia.org/wikipedia/commons/thumb/c/ce/ColimaCathedral01.jpg/1280px-ColimaCathedral01.jpg""]","[]","OpenStreetMap; Visita Colima","[""https://commons.wikimedia.org/wiki/File:ColimaCathedral01.jpg""]"
"palacio-gobierno-colima","Palacio de Gobierno de Colima","Turismo","true","Edificio histórico frente al Jardín Libertad que forma parte del conjunto monumental del centro de Colima.","[""Cultura"",""Historia"",""Arquitectura""]","Reforma 37, Centro, Colima, Colima","Colima","19.2430450","-103.7291180","Consultar antes de visitar","Confirmar acceso a exposiciones o recorridos","false","[]","","","[""https://thumb.wikimedia.org/wikipedia/commons/thumb/1/17/Palacio_de_Gobierno_Colima_2_noche_fiestas_patrias_2012.jpg/1280px-Palacio_de_Gobierno_Colima_2_noche_fiestas_patrias_2012.jpg""]","[]","Sistema de Información Cultural; Gobierno de Colima","[""https://commons.wikimedia.org/wiki/File:Palacio_de_Gobierno_Colima_2_noche_fiestas_patrias_2012.jpg""]"
"zona-arqueologica-la-campana","Zona arqueológica La Campana","Turismo","true","Antiguo asentamiento urbano del occidente mesoamericano con plazas, estructuras y petroglifos.","[""Arqueología"",""Historia"",""Cultura""]","Acceso a la Zona Arqueológica, Villa de Álvarez, Colima","Villa de Álvarez","19.2682340","-103.7252650","Consultar calendario oficial","Consultar horarios y tarifas vigentes del INAH","false","[]","","","[""https://thumb.wikimedia.org/wikipedia/commons/thumb/5/58/Zona_Arqueol%C3%B3gica_de_%22La_Campana%22%2C_Colima%2C_Colima.JPG/1280px-Zona_Arqueol%C3%B3gica_de_%22La_Campana%22%2C_Colima%2C_Colima.JPG""]","[]","INAH; OpenStreetMap","[""https://commons.wikimedia.org/wiki/File:Zona_Arqueol%C3%B3gica_de_%22La_Campana%22,_Colima,_Colima.JPG""]"
